N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
109,KODEX 200선물인버스2X,"2,835",15,+0.53%,0,"27,919","984,800",2.04,"142,293,941",N/A,N/A,
110,대우조선해양,"26,000","1,450",+5.91%,"5,000","27,896","107,291",2.86,"617,174",-1.63,-55.86,
111,키움증권,"106,100",400,+0.38%,"5,000","27,819","26,220",24.86,"56,216",5.49,25.38,
112,현대해상,"31,100",100,+0.32%,500,"27,803","89,400",35.57,"196,918",5.11,8.82,
113,한진칼,"40,600",450,-1.10%,"2,500","27,105","66,762",16.87,"48,858",2.86,1.11,
114,롯데쇼핑,"89,400",600,-0.67%,"5,000","25,290","28,289",12.07,"53,568",-4.87,-2.94,
115,동원산업,"50,500","1,600",+3.27%,"1,000","25,241","49,983",2.45,"72,233",4.59,12.59,
116,한화시스템,"13,110",150,-1.13%,"5,000","24,767","188,919",3.60,"531,653",-273.12,6.04,
117,한전기술,"64,100",600,+0.94%,200,"24,499","38,220",3.45,"110,394",120.72,3.25,
118,LG화학우,"313,500","6,000",+1.95%,"5,000","24,104","7,689",70.02,"7,571",11.03,N/A,
119,한솔케미칼,"210,500","6,000",-2.77%,"5,000","23,861","11,335",40.23,"93,512",16.70,23.88,
120,KODEX 종합채권(AA-이상)액티브,"103,755",60,-0.06%,0,"23,839","22,976",0.00,"10,865",N/A,N/A,
121,서울가스,"475,000","3,000",+0.64%,"5,000","23,750","5,000",4.35,"16,583",112.51,0.80,
122,휠라홀딩스,"39,000",100,+0.26%,"1,000","23,693","60,752",44.59,"124,177",11.00,16.20,
123,두산퓨얼셀,"35,950",850,+2.42%,100,"23,545","65,494",15.65,"674,687",719.00,1.69,
124,CJ,"80,400","1,700",-2.07%,"5,000","23,458","29,177",17.81,"54,214",8.17,5.66,
125,OCI,"97,300","2,200",+2.31%,"5,000","23,205","23,849",16.67,"294,744",2.88,23.93,
126,제일기획,"20,150",250,-1.23%,200,"23,181","115,041",33.10,"455,241",11.76,15.58,
127,한미사이언스,"32,800",150,+0.46%,500,"22,946","69,957",2.11,"170,787",45.24,6.37,
128,현대차우,"93,200",500,+0.54%,"5,000","22,700","24,357",58.80,"34,995",4.16,N/A,
129,KCC,"252,500","12,500",+5.21%,"5,000","22,438","8,886",13.13,"72,758",-8.11,-0.92,
130,코스모신소재,"73,000","1,900",+2.67%,"1,000","22,375","30,651",7.12,"909,236",78.16,9.42,
131,BNK금융지주,"6,850",60,+0.88%,"5,000","22,327","325,935",36.41,"922,198",2.75,8.76,
132,HL만도,"47,200",150,-0.32%,"1,000","22,164","46,957",22.93,"185,266",10.46,9.31,
133,LS,"68,500",200,-0.29%,"5,000","22,057","32,200",13.53,"79,370",5.50,8.15,
134,농심,"359,000","5,000",+1.41%,"5,000","21,837","6,083",15.94,"10,032",18.78,4.73,
135,에스원,"57,300",200,-0.35%,500,"21,774","37,999",54.30,"45,596",17.10,9.13,
136,한화생명,"2,500",20,-0.79%,"5,000","21,713","868,530",7.21,"1,359,463",2.03,10.79,
137,TIGER MSCI Korea TR,"13,575",5,-0.04%,0,"21,598","159,100",0.00,"22,111",N/A,N/A,
138,TIGER 미국나스닥100,"71,430",185,-0.26%,0,"21,508","30,110",0.16,"56,432",N/A,N/A,
139,한화,"28,050",150,+0.54%,"5,000","21,026","74,959",18.08,"81,379",2.02,20.22,
140,DB하이텍,"47,100",700,-1.46%,"5,000","20,912","44,399",27.08,"580,604",3.45,33.35,
141,GS건설,"24,300","1,500",+6.58%,"5,000","20,796","85,581",27.34,"2,445,696",4.16,9.32,
142,신세계,"209,500","3,500",-1.64%,"5,000","20,626","9,845",22.20,"125,090",6.94,8.54,
143,KODEX 200TR,"10,950",15,-0.14%,0,"20,318","185,550",0.01,"71,883",N/A,N/A,
144,효성티앤씨,"466,000","14,500",+3.21%,"5,000","20,167","4,328",8.95,"60,396",13.25,76.22,
145,금양,"34,700","3,650",+11.76%,500,"20,143","58,050",3.35,"8,572,435",114.52,13.57,
146,영원무역,"45,150",300,-0.66%,500,"20,007","44,311",30.57,"44,950",3.52,14.71,
147,동서,"20,050",300,-1.47%,500,"19,990","99,700",3.22,"49,889",18.06,8.05,
148,삼천리,"488,000","3,500",+0.72%,"5,000","19,789","4,055",14.55,"18,622",24.90,4.52,
149,대성홀딩스,"121,700","1,400",+1.16%,"1,000","19,581","16,089",5.66,"47,322",122.43,3.61,
150,대한전선,"1,568",28,+1.82%,100,"19,513","1,244,473",2.74,"8,215,293",60.31,7.78,
151,CJ대한통운,"84,800",700,+0.83%,"5,000","19,345","22,812",16.50,"32,570",9.59,1.59,
152,대우건설,"4,635",155,+3.46%,"5,000","19,264","415,623",12.26,"1,991,109",3.84,16.47,
153,TIGER 200,"32,560",40,-0.12%,0,"19,162","58,850",3.03,"668,639",N/A,N/A,
154,KODEX 레버리지,"15,365",75,-0.49%,0,"19,114","124,400",2.01,"23,488,207",N/A,N/A,
155,효성첨단소재,"426,000","12,000",+2.90%,"5,000","19,085","4,480",6.84,"38,888",10.54,54.69,
156,JB금융지주,"9,520",110,+1.17%,"5,000","18,753","196,983",32.01,"463,660",3.23,12.80,
